Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
AIPSE 2017 LT;Aalto University;AI spider silk threading / Consortium: ASSET;Kyrki, Ville;317020;20.12.2017;01.01.2018 - 31.12.2022;280.360
AIPSE 2017 LT;Aalto University;AI spider silk threading / Consortium: ASSET;Linder, Markus;317019;20.12.2017;01.01.2018 - 31.12.2021;325.794
AIPSE 2017 LT;Aalto University;AI spider silk threading / Consortium: ASSET;Zhou, Quan;317018;20.12.2017;01.01.2018 - 31.12.2022;326.269
AIPSE 2017 LT;Aalto University;Adaptive and intelligent data / Consortium: AIDA;Gionis, Aristides;317085;20.12.2017;01.01.2018 - 30.06.2022;418.395
AIPSE 2017 LT;Aalto University;Artificial Intelligence for Microscopic Structure Search / Consortium: AIMSS;Rinke, Patrick;316601;20.12.2017;01.01.2018 - 31.12.2021;326.813
AIPSE 2017 LT;Aalto University;Artificial Intelligence for Retrieval of Forest Biomass & Structure / Consortium: AIROBEST;Laaksonen, Jorma;317388;20.12.2017;01.01.2018 - 31.12.2022;293.240
AIPSE 2017 LT;Aalto University;Computational tomographic atomic force microscopy / Consortium: CATAFM;Foster, Adam;314877;20.12.2017;01.01.2018 - 31.12.2021;305.072
AIPSE 2017 LT;Aalto University;Computational tomographic atomic force microscopy / Consortium: CATAFM;Kannala, Juho;314881;20.12.2017;01.01.2018 - 31.12.2021;305.994
AIPSE 2017 LT;Aalto University;Computational tomographic atomic force microscopy / Consortium: CATAFM;Liljeroth, Peter;314882;20.12.2017;01.01.2018 - 31.12.2021;305.078
AIPSE 2017 LT;Aalto University;Intelligent Crop Production: Data-integrative, Multi-task Learning Meets Crop Simulator / Consortium: AI-CropPro;Mamitsuka, Hiroshi;315896;20.12.2017;01.01.2018 - 31.12.2022;640.328
AIPSE 2017 LT;Natural Resources Institute Finland;Intelligent Crop Production: Data-integrative, Multi-task Learning Meets Crop Simulator / Consortium: AI-CropPro;Peltonen-Sainio, Pirjo;316172;20.12.2017;01.01.2018 - 31.12.2021;186.590
AIPSE 2017 LT;Tampere University;"Smart autonomous broadband laser light  
 / Consortium: SMALL";Foi, Alessandro;326473;20.12.2017;01.01.2019 - 31.12.2022;301.052
AIPSE 2017 LT;Tampere University;"Smart autonomous broadband laser light  
 / Consortium: SMALL";Genty, Goery;326472;20.12.2017;01.01.2019 - 31.12.2021;392.766
AIPSE 2017 LT;Tampere University of Technology -2018;"Smart autonomous broadband laser light  
 / Consortium: SMALL";Foi, Alessandro;318083;20.12.2017;01.01.2018 - 31.12.2018;53.883
AIPSE 2017 LT;Tampere University of Technology -2018;"Smart autonomous broadband laser light  
 / Consortium: SMALL";Genty, Goery;318082;20.12.2017;01.01.2018 - 31.12.2018;73.158
AIPSE 2017 LT;University of Helsinki;Adaptive and intelligent data / Consortium: AIDA;Kangasharju, Jussi;317086;20.12.2017;01.01.2018 - 30.06.2022;443.063
AIPSE 2017 LT;University of Helsinki;Artificial Intelligence for Microscopic Structure Search / Consortium: AIMSS;Corander, Jukka;316602;20.12.2017;01.01.2018 - 31.12.2021;326.145
AIPSE 2017 LT;University of Jyväskylä;Structure prediction of hybrid nanoparticles via artificial intelligence (HNP-AI) / Consortium: HNP-AI;Häkkinen, Hannu;315549;20.12.2017;01.01.2018 - 31.12.2022;458.214
AIPSE 2017 LT;University of Jyväskylä;Structure prediction of hybrid nanoparticles via artificial intelligence (HNP-AI) / Consortium: HNP-AI;Kärkkäinen, Tommi;315550;20.12.2017;01.01.2018 - 31.07.2022;385.679
AIPSE 2017 LT;University of Oulu;Replacing geo-engineering with robust social incentives: a first quantification of complex anthropogenic impact on air quality modeling and interaction with regulations, using agent-based simulations (ANTHRO-IMPACT).;Prisle, Nønne;316743;20.12.2017;01.01.2018 - 31.12.2022;395.805
