Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
Academy Professors BTY;University of Helsinki;Biosphere-Atmosphere Feedbacks and Carbon-Water Cycles;Vesala, Timo;282842;10.06.2014;01.01.2015 - 31.12.2019;781.195
Academy Professors BTY;University of Helsinki;Membrane biology of cholesterol: from basic research to personalized applications;Ikonen, Elina;282192;10.06.2014;01.01.2015 - 31.12.2019;781.195
Academy Professors BTY;University of Helsinki;Unsealing the Codes of Biological Shape;Jernvall, Jukka;282873;10.06.2014;01.01.2015 - 31.12.2019;781.195
Academy Professors BTY;University of Turku;Adhesion switches in cancer and development;Ivaska, Johanna;282883;10.06.2014;01.01.2015 - 31.12.2019;781.195
Academy Professors BTY;University of Eastern Finland;"Novel Gene Therapy Based on the Activation of Endogenous Genes for the Treatment of Ischemia  
-Concepts of endogenetherapy, release of promoter pausing, promoter-targeted non-coding RNAs and nuclear RNAi";Ylä-Herttuala, Seppo;292275;27.05.2015;01.01.2016 - 31.12.2020;781.195
Academy Professors BTY;University of Helsinki;Ion-regulatory proteins in brain development, plasticity and epilepsy;Kaila, Kai;292311;27.05.2015;01.01.2016 - 31.05.2019;533.817
Academy Professors BTY;University of Turku;LincRNAs and epigenetic regulators in human T helper cell differentiation: lin(c)king disease associated SNPs to molecular mechanisms of immune disease.;Lahesmaa, Riitta Liisa Maria;292335;27.05.2015;01.01.2016 - 31.12.2020;781.195
Academy Professors BTY;University of Turku;Natural selection in contemporary human populations;Lummaa, Virpi;292368;27.05.2015;01.01.2016 - 31.12.2020;781.195
Academy Professors BY;University of Helsinki;How do cytokinin phytohormones regulate wood development?;Helariutta, Yrjö;263290;12.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors BY;University of Helsinki;Parallel, convergent and cryptic evolution − uncovering the hidden adaptive differentiation in the wild;Merilä, Juha;263219;12.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors KY;University of Helsinki;Embodied Religion. Changing Meanings of Body and Gender in Contemporary Forms of Religious Identity in Finland.;Vuola, Elina;263234;15.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors KY;University of Helsinki;Interdisciplinarity and the Reshaping of the Social Sciences - With special attention paid to the role of economics;Mäki, Uskali;263302;15.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors KY;University of Helsinki;"Maternal and Placental Origins of Mental Disorders and Associated Psychological Risks – 
Trans-Generational Transmission of Prenatal Adversities via Glucocorticoid Pathways";Räikkönen-Talvitie, Katri;282891;13.08.2014;01.01.2015 - 31.12.2019;781.195
Academy Professors KY;Aalto University;Talent and Success in Business Career;Keloharju, Matti;292363;27.05.2015;01.01.2016 - 31.12.2020;781.195
Academy Professors KY;Tampere University;Epistemic capital in the synchronization of national policies;Alasuutari, Pertti Juhani;326390;27.05.2015;01.01.2019 - 31.12.2020;312.478
Academy Professors KY;University of Tampere -2018;Epistemic capital in the synchronization of national policies;Alasuutari, Pertti Juhani;292353;27.05.2015;01.01.2016 - 31.12.2018;468.717
Academy Professors LT;University of Helsinki;Mathematical Physics;Kupiainen, Antti;263209;25.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors LT;University of Jyväskylä;Weak Interactions as Structural Elements in Self-assembling Molecular Systems;Rissanen, Kari;263256;25.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors LT;Aalto University;Quantum nanoelectronics;Pekola, Jukka;272218;10.06.2013;01.01.2014 - 31.12.2018;764.785
Academy Professors LT;University of Helsinki;Inverse problems: Mathematical analysis and applications;Lassas, Matti;272312;10.06.2013;01.01.2014 - 31.12.2018;764.785
Academy Professors LT;Aalto University;Interdisciplinary research on statistical parametric speech synthesis;Alku, Paavo;281989;12.06.2014;01.01.2015 - 31.12.2019;781.195
Academy Professors LT;Aalto University;Interactive machine learning from multiple biodata sources;Kaski, Samuel;292334;27.05.2015;01.01.2016 - 31.08.2021;781.195
Academy Professors LT;University of Jyväskylä;Nanostructured Metal-Molecule Interfaces (NaMeMoInt);Häkkinen, Hannu;292352;27.05.2015;01.01.2016 - 31.12.2020;781.195
Academy Professors TT;University of Helsinki;Cancer Genetics in the High-Throughput Sequencing Era;Aaltonen, Lauri A.;263226;11.06.2012;01.01.2013 - 31.12.2017;732.920
Academy Professors TT;University of Helsinki;Genomic epidemiology of addictions and their consequences  - national, Nordic and international dimensions.;Kaprio, Jaakko;263278;11.06.2012;01.01.2013 - 31.12.2017;647.412
Academy Project BTY;Finnish Environment Institute;Pathways linking uncertainties in model projections of climate and its effects / Consortium: PLUMES;Carter, Timothy;277276;14.05.2014;01.09.2014 - 31.08.2019;392.526
Academy Project BTY;University of Helsinki;Role of tankyrases and PARsylation in energy metabolism and podocyte injury in diabetic nephropathy;Lehtonen, Sanna;277485;23.04.2014;01.09.2014 - 30.06.2019;450.000
Academy Project BTY;University of Jyväskylä;Novel filamin-dependent mechanosensor signaling pathways;Ylänne, Jari;278668;14.05.2014;01.09.2014 - 31.12.2019;638.092
Academy Project BTY;Aalto University;Dynamic identification of functional brain networks by Bayesian tracking of electrophysiological data;Parkkonen, Lauri;289108;22.04.2015;01.09.2015 - 31.08.2019;500.000
Academy Project BTY;Aalto University;Seasonal dynamics of the boreal region from space: connecting forest albedo to structure and productivity throughout the phenological cycle [BOREALITY];Rautiainen, Miina;286390;11.05.2015;01.09.2015 - 31.12.2019;380.583
Academy Project BTY;Finnish Environment Institute;Multilevel assessment of sustainable oil spill response measures and their impact on Arctic and subarctic marine environments (OILRES) / Consortium: OILRES;Jørgensen, Kirsten;289238;11.05.2015;01.09.2015 - 31.08.2019;497.935
Academy Project BTY;Finnish Institute for Health and Welfare;Molecular mechanisms of insufficient sleep: implications for mental and somatic health;Paunio, Tiina;290039;22.04.2015;01.09.2015 - 31.08.2019;441.239
Academy Project BTY;Finnish Red Cross;Genome-level histocompatibility testing in hematopoietic stem cell transplantation;Partanen, Jukka;288393;22.04.2015;01.09.2015 - 31.08.2019;227.547
Academy Project BTY;Helsinki University Central Hospital;Searching for Explanations for Cryptogenic Stroke in the Young: Revealing the Etiology, Triggers, and Outcome (SECRETO) / Consortium: SECRETO;Putaala, Jukka;286246;22.04.2015;01.09.2015 - 31.08.2019;90.720
Academy Project BTY;Helsinki University Central Hospital;The role of acquired genetic changes in T-cell disorders;Mustjoki, Satu;287224;22.04.2015;01.09.2015 - 31.08.2019;458.215
Academy Project BTY;Kuopio University Hospital;Searching for Explanations for Cryptogenic Stroke in the Young: Revealing the Etiology, Triggers, and Outcome (SECRETO) / Consortium: SECRETO;Jäkälä, Pekka;287408;22.04.2015;01.09.2015 - 31.08.2019;99.343
Academy Project BTY;Minerva Foundation Institute for Medical Research;Membrane contact sites (MCSs): Molecular machinery at organelle interfaces with key roles in lipid metabolism, transport and signaling;Olkkonen, Vesa;285223;11.05.2015;01.09.2015 - 31.08.2019;547.143
Academy Project BTY;Natural Resources Institute Finland;Quantifying the Past – Environmental anomalies through multi-proxy tree-ring analyses (QUANOMAL) / Consortium: QUANOMAL;Nöjd, Pekka;288267;11.05.2015;01.09.2015 - 28.02.2020;535.482
Academy Project BTY;Natural Resources Institute Finland;Root-related carbon fluxes – missing pieces in the boreal peatland carbon balance puzzle / Consortium: PeatRoot;Laiho, Raija;289116;11.05.2015;01.09.2015 - 31.08.2019;597.259
Academy Project BTY;Oulu University Hospital;Searching for Explanations for Cryptogenic Stroke in the Young: Revealing the Etiology, Triggers, and Outcome (SECRETO) / Consortium: SECRETO;Huhtakangas, Juha;288988;22.04.2015;01.09.2015 - 31.08.2019;99.961
Academy Project BTY;Samfundet folkhälsan;Muscular dystrophy – molecular pathophysiology of titin mutations and translational medicine;Udd, Bjarne;286855;22.04.2015;01.09.2015 - 31.08.2019;500.000
Academy Project BTY;Tampere University;Adaptation of talin conformation to mechanical stress – Implications in mechanosignaling and cellular differentiation;Hytönen, Vesa;326371;11.05.2015;01.01.2019 - 31.08.2019;229.269
Academy Project BTY;Tampere University;Beta carbonic anhydrase: a new silver bullet against parasitic diseases;Parkkila, Seppo;326531;22.04.2015;01.01.2019 - 31.08.2019;102.763
Academy Project BTY;Tampere University;Regeneration of injured skeletal muscle by in vivo functional selection (FunSel) of the full secretome;Järvinen, Tero;326530;22.04.2015;01.01.2019 - 31.08.2019;132.994
Academy Project BTY;Tampere University;The longevity revolution- implications for the need and costs of health and social care;Jylhä, Marja;326370;22.04.2015;01.01.2019 - 31.08.2019;64.106
Academy Project BTY;Tampere University;Virus infection as a cause of type 1 diabetes;Hyöty, Heikki;326367;22.04.2015;01.01.2019 - 31.08.2019;34.873
Academy Project BTY;Tampere University Hospital;Life-long stability and heritability of epigenetic changes in relation to impaired glucose metabolism and the risk of type 2 diabetes and cardiovascular diseases.;Lehtimäki, Terho;286284;22.04.2015;01.09.2015 - 31.08.2019;472.502
Academy Project BTY;Tampere University Hospital;Searching for explanations for cryptogenic stroke in the young: revealing the etiology, triggers, and outcome (SECRETO) / Consortium: SECRETO;Numminen, Heikki;289585;22.04.2015;01.09.2015 - 31.08.2019;137.478
Academy Project BTY;Turku University Hospital;"Searching for Explanations for Cryptogenic 
Stroke in the Young: Revealing the Etiology, 
Triggers, and Outcome (SECRETO) / Consortium: SECRETO";Roine, Risto;289164;22.04.2015;01.09.2015 - 31.08.2019;121.491
Academy Project BTY;University of Eastern Finland;Engineered biocatalysts for production of novel chemicals in vitro or in vivo / Consortium: ENGBIOCAT;Rouvinen, Juha;287241;11.05.2015;01.09.2015 - 31.08.2019;477.794
Academy Project BTY;University of Eastern Finland;Evolutionary restoration of trout populations impacted by human-induced selection;Vainikka, Anssi;286261;11.05.2015;01.09.2015 - 31.08.2019;542.681
Academy Project BTY;University of Eastern Finland;Modelling the vegetation dynamics of northern peatlands with implications for carbon biogeochemistry under changing climate;Tuittila, Eeva-Stiina;287039;11.05.2015;01.09.2015 - 31.12.2021;587.268
Academy Project BTY;University of Eastern Finland;Molecular imaging of brain using hyperpolarised 13C MR;Kettunen, Mikko;286895;11.05.2015;01.09.2015 - 31.08.2019;437.616
Academy Project BTY;University of Eastern Finland;Multimodal assessment of food reward: insights into individual appetite control (MARIA) / Consortium: MARIA;Tarvainen, Mika;289382;22.04.2015;01.09.2015 - 31.08.2019;238.310
Academy Project BTY;University of Eastern Finland;Multimodal assessment of food reward: insights to individual appetite control / Consortium: MARIA;Karhunen, Leila;286028;22.04.2015;01.09.2015 - 31.08.2019;238.438
Academy Project BTY;University of Eastern Finland;Nivelruston ja rustonalaisen luun adaptoituminen epänormaaliin kuormitukseen polvinivelissä;Korhonen, Rami;286526;22.04.2015;01.09.2015 - 31.08.2019;497.115
Academy Project BTY;University of Eastern Finland;SUMOylation-regulated genome-wide responses in cell stress and glucocorticoid signaling;Palvimo, Jorma;287336;11.05.2015;01.09.2015 - 31.08.2019;593.166
Academy Project BTY;University of Eastern Finland;Yedoma: an overlooked source of nitrous oxide from the Arctic?;Biasi, Christina;287469;11.05.2015;01.09.2015 - 31.08.2019;554.457
Academy Project BTY;University of Helsinki;A full understanding of Ret receptor tyrosine kinase signalling;Goldman, Adrian;286429;11.05.2015;01.09.2015 - 31.08.2019;607.849
Academy Project BTY;University of Helsinki;Bacteriophage genome mining for antibacterial leads;Skurnik, Mikael;288701;11.05.2015;01.09.2015 - 31.08.2019;587.329
Academy Project BTY;University of Helsinki;CHLAMYDIA TRACHOMATIS INFECTIONS – from molecular pathogenesis to improved management;Puolakkainen, Mirja;285975;22.04.2015;01.09.2015 - 31.08.2019;492.659
Academy Project BTY;University of Helsinki;Differentiation and properties of midbrain GABAergic neurons controlling motivated behavior and sleep;Partanen, Juha;285262;22.04.2015;01.09.2015 - 15.10.2019;500.000
Academy Project BTY;University of Helsinki;Dissecting the mammalian phagophore assembly site;Eskelinen, Eeva-Liisa;286787;11.05.2015;01.09.2015 - 31.08.2019;616.655
Academy Project BTY;University of Helsinki;EV2020 - search for diagnostic biomarkers and tools for drug delivery based on EV-mediated communication;Siljander, Pia R-M;287089;22.04.2015;01.09.2015 - 31.08.2019;457.263
Academy Project BTY;University of Helsinki;Early Brain Activity: Embedding Adversities in Neurodevelopment (EBA);Vanhatalo, Sampsa;288220;22.04.2015;01.09.2015 - 31.08.2019;412.125
Academy Project BTY;University of Helsinki;Elucidating the Genetics of Migraine Susceptibility;Palotie, Aarno;286500;22.04.2015;01.09.2015 - 31.08.2019;467.994
Academy Project BTY;University of Helsinki;Fungal interactions and life-styles on wood: altered activities, proteome and transcriptome responses in co-cultures and consortia;Lundell, Taina;285676;11.05.2015;01.09.2015 - 31.08.2019;566.605
Academy Project BTY;University of Helsinki;Genetic basis of sugar sensing and tolerance;Hietakangas, Ville Ilmari;286767;11.05.2015;01.09.2015 - 31.08.2019;621.435
Academy Project BTY;University of Helsinki;Human model for genetic variation using phenomewide screens in human knock-outs;Ripatti, Samuli;285380;22.04.2015;01.09.2015 - 31.08.2019;451.074
Academy Project BTY;University of Helsinki;Metabolic effects of caspase-2 in cell lipid signaling and in regulation of lipid-induced cell toxicity (lipoapoptosis) – role of cytokines and protein phosphorylation events;Lindholm, Dan;290608;22.04.2015;01.09.2015 - 31.08.2019;425.806
Academy Project BTY;University of Helsinki;Molecular dynamics simulation as a tool to investigate novel formulations for -some based drug delivery systems;Bunker, Alex;287963;22.04.2015;01.09.2015 - 31.08.2019;241.641
Academy Project BTY;University of Helsinki;Quantifying the Past – Environmental anomalies through multi-proxy tree-ring analyses (QUANOMAL) / Consortium: QUANOMAL;Oinonen, Markku;288083;11.05.2015;01.09.2015 - 29.02.2020;459.557
Academy Project BTY;University of Helsinki;RNA polymerase I regulatory functions of a novel small molecule anticancer compound;Laiho, Marikki;288364;22.04.2015;01.09.2015 - 31.08.2019;467.217
Academy Project BTY;University of Helsinki;ROLE OF KAINATE RECEPTORS IN DEVELOPMENTAL PLASTICITY AND NEURONAL SYNCHRONIZATION IN THE HIPPOCAMPUS;Taira, Tomi;289410;22.04.2015;01.09.2015 - 31.08.2019;500.000
